Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,0.1,6,7,85.7,115,9,0,0,0,0,1,0,0,0
Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,1.9,117,151,77.5,1940,634,0,0.1,-0.1,1,8,0,0,11
Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,1.3,89,101,88.1,2001,614,0,0.2,-0.2,1,7,1,0,5
Willian\Willian,br BRA,FWMF,Arsenal,11.1,440,564,78,7963,1478,3,1.7,+1.3,17,23,20,7,33
Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,2.6,69,91,75.8,1078,279,0,0,0,2,9,4,1,6
Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,1,6,11,54.5,110,35,0,0.3,-0.3,2,2,0,0,2
Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,20.1,225,324,69.4,3098,606,5,2,+3.0,14,9,13,0,19
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,6.3,348,413,84.3,6510,1846,0,0.3,-0.3,4,46,3,0,34
Chris Wood\Chris-Wood,nz NZL,FW,Burnley,18.7,252,373,67.6,3324,427,0,1,-1,14,12,4,0,18
Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,17.1,1124,1260,89.2,22801,5688,1,0.8,+0.2,7,157,20,0,136
Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,4,110,139,79.1,1946,530,1,1,0,5,10,4,1,10
DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,4.8,111,172,64.5,1758,808,0,0.1,-0.1,3,5,6,1,13
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,0.1,6,7,85.7,100,15,0,0,0,0,0,0,0,0
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,18.5,381,503,75.7,5524,1211,2,2,0,15,16,20,3,39
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,18.7,811,949,85.5,13822,3413,3,1.8,+1.2,19,102,13,4,74
Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,0.8,5,11,45.5,89,34,0,0,0,0,1,1,1,1
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,7.1,572,633,90.4,9341,2526,0,0.1,-0.1,1,43,8,0,39
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,7,352,470,74.9,6238,1666,3,2.3,+0.7,17,33,19,4,42
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,15,1005,1110,90.5,23054,5819,0,0,0,1,72,2,0,46
Martin Ødegaard\Martin-Odegaard,no NOR,MFDF,Arsenal,0.4,26,31,83.9,384,113,0,0,0,0,3,1,0,3
