Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,7.4,345,410,84.1,6007,2261,1,0.6,+0.4,4,16,4,1,19
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,7.4,68,88,77.3,1003,154,1,0.2,+0.8,4,2,1,0,3
Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,15.8,961,1080,89,22533,6442,0,0,0,0,50,2,0,44
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,3.3,75,92,81.5,1161,288,0,0,0,1,4,1,0,7
Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,7.7,175,230,76.1,2382,609,2,0.8,+1.2,8,4,10,4,11
Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,18.9,668,931,71.8,11849,5984,3,2.4,+0.6,26,55,25,14,77
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,23,1020,1371,74.4,20598,9926,5,3.5,+1.5,35,99,16,11,88
Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,0.3,4,5,80,67,2,0,0,0,0,0,0,0,0
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,21.9,1179,1438,82,20046,6670,2,1.2,+0.8,16,85,26,7,112
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,11,418,488,85.7,8460,3752,0,0,0,1,18,0,0,23
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,23,337,664,50.8,14474,10702,0,0,0,1,8,0,0,0
Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,12.6,539,693,77.8,9685,3712,1,0.6,+0.4,7,37,9,4,38
Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,7.3,291,349,83.4,5419,1323,0,0.5,-0.5,3,20,7,2,22
Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,0.6,18,24,75,235,56,0,0,0,1,0,2,0,2
Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,0.4,17,20,85,381,158,0,0,0,0,0,1,0,1
Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,8,199,258,77.1,4642,1368,0,0,0,1,19,0,0,15
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,15.6,708,943,75.1,13784,4257,10,6.9,+3.1,54,79,54,6,118
Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,0.4,5,7,71.4,45,0,0,0,0,0,0,0,0,0
Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,2.4,174,197,88.3,3031,830,0,0,0,1,14,1,0,15
Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,15.7,541,621,87.1,9608,1936,0,0.6,-0.6,15,39,5,2,37
Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,2.2,27,34,79.4,450,70,1,0.2,+0.8,2,3,1,1,2
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,4.9,210,254,82.7,3670,741,0,0.1,-0.1,3,7,1,0,12
Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,11.9,223,302,73.8,3062,762,0,0.1,-0.1,4,14,6,0,23
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,14,412,593,69.5,7671,2949,4,3.2,+0.8,29,45,28,6,88
Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,19.8,1563,1679,93.1,33708,8839,0,0,0,1,101,2,1,69
Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,19,894,1067,83.8,20926,6740,0,0,0,1,47,5,0,41
Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,12.8,591,795,74.3,10779,4225,6,2.5,+3.5,19,38,15,12,55
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,4.1,295,327,90.2,7035,2127,0,0,0,0,26,0,0,20
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,3.3,151,169,89.3,3170,883,0,0,0,0,6,0,0,5
Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,8.9,192,265,72.5,2972,741,0,0.5,-0.5,6,14,10,0,18
Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,9.1,400,517,77.4,6308,2414,1,0.5,+0.5,6,14,6,2,29
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,13.2,846,970,87.2,17914,4783,0,0,0,1,50,1,0,28
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,19,869,998,87.1,14763,3104,3,2.2,+0.8,16,57,14,1,45
Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,1.9,38,49,77.6,604,333,0,0,0,0,6,0,0,2
Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,20,1065,1199,88.8,24511,6708,0,0.4,-0.4,4,63,0,0,43
Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,2,60,89,67.4,1301,256,0,0.1,-0.1,2,0,1,0,1
Ederson\Ederson,br BRA,GK,Manchester City,21,512,610,83.9,13924,8071,0,0,0,0,1,1,0,0
Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,1.3,30,35,85.7,420,91,0,0,0,0,3,0,0,3
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,20.1,639,765,83.5,14976,4926,1,0.2,+0.8,2,60,5,0,46
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,1.5,86,115,74.8,1548,658,0,0.3,-0.3,5,6,9,3,10
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,10.1,537,582,92.3,10657,2181,0,0.2,-0.2,4,42,5,0,30
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,18.7,1014,1169,86.7,22036,6332,1,0.2,+0.8,6,51,0,0,39
Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,16.7,573,724,79.1,8816,2829,3,1.6,+1.4,25,46,22,3,78
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,22,388,620,62.6,15811,11548,0,0,0,0,15,0,0,0
Fabinho\Fabinho,br BRA,DFMF,Liverpool,17.4,1268,1377,92.1,26859,6944,0,0.4,-0.4,3,59,3,1,57
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,21.4,1046,1420,73.7,20281,6338,9,8.7,+0.3,66,121,67,6,158
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,15.3,446,568,78.5,9971,2936,0,0.2,-0.2,3,14,2,1,15
Fernandinho\Fernandinho,br BRA,MF,Manchester City,5.8,431,497,86.7,8241,2009,0,0,0,1,69,5,1,48
Sam Field\Sam-Field,eng ENG,MF,West Brom,0.7,15,23,65.2,223,41,0,0,0,0,1,0,0,2
Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,19.8,633,790,80.1,9335,2031,4,3.4,+0.6,25,42,20,0,66
John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,14.7,529,678,78,8476,2769,2,1.8,+0.2,21,68,17,1,60
Phil Foden\Phil-Foden,eng ENG,FW,Manchester City,11.4,420,514,81.7,6154,1152,3,2.4,+0.6,21,20,13,1,37
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,15.5,797,924,86.3,16908,4639,0,0.1,-0.1,3,59,0,0,44
Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,17.1,455,591,77,7560,2134,2,1.6,+0.4,16,39,20,3,60
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,1,9,43,20.9,425,331,0,0,0,0,1,0,0,0
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,0.9,65,75,86.7,1070,258,0,0.3,-0.3,2,4,1,1,1
Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Newcastle Utd,6.3,169,248,68.1,2935,1027,1,1.6,-0.6,15,5,8,7,15
Fred\Fred,br BRA,MF,Manchester Utd,14.7,826,945,87.4,16389,4149,0,1.8,-1.8,15,92,13,0,87
Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,4.9,156,218,71.6,2340,827,1,1.2,-0.2,12,8,11,7,13
Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,7.8,478,589,81.2,9088,3503,0,0,0,1,42,2,1,33
Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,18.1,416,686,60.6,7619,3176,2,1.4,+0.6,11,35,9,8,44
Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,16.1,465,566,82.2,8410,1909,0,0.2,-0.2,6,51,9,1,32
Eric García\Eric-Garcia,es ESP,DF,Manchester City,2.2,208,221,94.1,4185,1213,0,0.1,-0.1,2,20,0,0,12
Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,1.1,25,28,89.3,352,50,0,0,0,1,0,0,0,1
David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,20.5,344,453,75.9,8980,5477,0,0,0,0,3,0,0,0
Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,6.3,143,219,65.3,2015,579,0,0.9,-0.9,10,7,9,4,18
