Player,Pos,Squad,90s,Prog
Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,11.7,21
Conor Coady\Conor-Coady,DF,Wolves,21.7,36
Séamus Coleman\Seamus-Coleman,DF,Everton,7.4,19
Aaron Connolly\Aaron-Connolly,FW,Brighton,7.4,3
Liam Cooper\Liam-Cooper,DF,Leeds United,15.8,44
Jack Cork\Jack-Cork,MF,Burnley,3.3,7
Hélder Costa\Helder-Costa,MF,Leeds United,7.7,11
Vladimír Coufal\Vladimir-Coufal,DF,West Ham,18.9,77
Aaron Cresswell\Aaron-Cresswell,DF,West Ham,23,89
Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,0.3,0
Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,21.9,112
Scott Dann\Scott-Dann,DF,Crystal Palace,11,23
Karl Darlow\Karl-Darlow,GK,Newcastle Utd,23,0
Ben Davies\Ben-Davies,DF,Tottenham,12.6,37
Tom Davies\Tom-Davies,MFDF,Everton,7.3,22
Keinan Davis\Keinan-Davis,FW,Aston Villa,0.6,2
Leif Davis\Leif-Davis,DF,Leeds United,0.4,1
Craig Dawson\Craig-Dawson,DF,West Ham,8,15
Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,15.6,118
Liam Delap\Liam-Delap,FW,Manchester City,0.4,0
Fabian Delph\Fabian-Delph,MFDF,Everton,2.4,15
Leander Dendoncker\Leander-Dendoncker,MF,Wolves,15.7,37
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,2.2,2
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,4.9,12
Grady Diangana\Grady-Diangana,MFFW,West Brom,11.9,23
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,14,88
Rúben Dias\Ruben-Dias,DF,Manchester City,19.8,69
Eric Dier\Eric-Dier,DF,Tottenham,19,41
Lucas Digne\Lucas-Digne,DFMF,Everton,12.8,55
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,4.1,20
Issa Diop\Issa-Diop,DF,West Ham,3.3,5
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,8.9,18
Matt Doherty\Matt-Doherty,DF,Tottenham,9.1,29
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,13.2,28
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,19,45
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,1.9,2
Lewis Dunk\Lewis-Dunk,DF,Brighton,20,43
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,2,1
Ederson\Ederson,GK,Manchester City,21,0
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,1.3,3
John Egan\John-Egan,DF,Sheffield Utd,20.1,46
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,1.5,10
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,10.1,30
Jonny Evans\Jonny-Evans,DF,Leicester City,18.7,39
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,16.7,78
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,22,0
Fabinho\Fabinho,DFMF,Liverpool,17.4,57
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,21.4,158
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,15.3,15
Fernandinho\Fernandinho,MF,Manchester City,5.8,48
Sam Field\Sam-Field,MF,West Brom,0.7,2
Roberto Firmino\Roberto-Firmino,FW,Liverpool,19.8,66
John Fleck\John-Fleck,MF,Sheffield Utd,14.7,60
Phil Foden\Phil-Foden,FW,Manchester City,11.4,37
Wesley Fofana\Wesley-Fofana,DF,Leicester City,15.5,44
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,17.1,60
Fraser Forster\Fraser-Forster,GK,Southampton,1,0
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,0.9,1
Ryan Fraser\Ryan-Fraser,MFFW,Newcastle Utd,6.3,15
Fred\Fred,MF,Manchester Utd,14.7,87
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,4.9,13
Christian Fuchs\Christian-Fuchs,DF,Leicester City,7.8,33
Darnell Furlong\Darnell-Furlong,DF,West Brom,18.1,44
Conor Gallagher\Conor-Gallagher,MF,West Brom,16.1,32
Eric García\Eric-Garcia,DF,Manchester City,2.2,12
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,1.1,1
David de Gea\David-de-Gea,GK,Manchester Utd,20.5,0
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,6.3,18
Morgan Gibbs-White\Morgan-Gibbs-White,FWMF,Wolves,1.1,5
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,9,16
Billy Gilmour\Billy-Gilmour,MF,Chelsea,0.4,0
Olivier Giroud\Olivier-Giroud,FW,Chelsea,6.4,1
Ben Godfrey\Ben-Godfrey,DF,Everton,13.7,19
André Gomes\Andre-Gomes,MF,Everton,9.7,39
Joe Gomez\Joe-Gomez,DF,Liverpool,6.6,38
Anthony Gordon\Anthony-Gordon,FWMF,Everton,1,3
Karlan Grant\Karlan-Grant,FWMF,West Brom,12,8
Demarai Gray\Demarai-Gray,FW,Leicester City,0.2,1
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,21,148
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,10.8,23
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,1.6,5
Pascal Groß\Pascal-Gross,MF,Brighton,13,57
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,23,0
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,14.5,87
Antwoine Hackford\Antwoine-Hackford,DFFW,Sheffield Utd,0.1,0
Sébastien Haller\Sebastien-Haller,FW,West Ham,10.4,19
Rekeem Harper\Rekeem-Harper,MF,West Brom,0.4,1
Jack Harrison\Jack-Harrison,MF,Leeds United,19.5,70
Kortney Hause\Kortney-Hause,DF,Aston Villa,4,6
Kai Havertz\Kai-Havertz,MFFW,Chelsea,10.9,32
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,16.1,22
Michael Hector\Michael-Hector,DF,Fulham,2.9,11
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,1,2
Dean Henderson\Dean-Henderson,GK,Manchester Utd,2.5,0
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,17.6,134
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,14.5,34
Pablo Hernández\Pablo-Hernandez,MF,Leeds United,3.1,44
Son Heung-min\Son-Heung-min,FW,Tottenham,20.9,39
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,3.3,9
Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,22,114
Rob Holding\Rob-Holding,DF,Arsenal,19.5,74
Mason Holgate\Mason-Holgate,DF,Everton,10.8,32
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,2.5,9
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,7.5,36
Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,0.1,0
Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,4.4,6
Danny Ings\Danny-Ings,FW,Southampton,15.3,31
Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,8.2,10
Alex Iwobi\Alex-Iwobi,FWDF,Everton,11.6,49
Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,2.6,4
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWDF,Brighton,2.8,8
Daniel James\Daniel-James,FW,Manchester Utd,3.9,14
Reece James\Reece-James,DF,Chelsea,15.2,75
Alexandre Jankewitz\Alexandre-Jankewitz,MFFW,Southampton,0,1
Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,11.2,10
Raúl Jiménez\Raul-Jimenez,FW,Wolves,9.1,19
Joelinton\Joelinton,FWMF,Newcastle Utd,12.2,13
Ben Johnson\Ben-Johnson,DF,West Ham,1.6,3
Sam Johnstone\Sam-Johnstone,GK,West Brom,22,0
Curtis Jones\Curtis-Jones,MF,Liverpool,9,55
Jorginho\Jorginho,MF,Chelsea,11.8,62
Willian José\Willian-Jose,FW,Wolves,2.9,4
Diogo Jota\Diogo-Jota,FW,Liverpool,5.6,20
James Justin\James-Justin,DF,Leicester City,23,92
Aboubakar Kamara\Aboubakar-Kamara,FWDF,Fulham,3.5,11
Harry Kane\Harry-Kane,FW,Tottenham,19.4,84
N'Golo Kanté\NGolo-Kante,MF,Chelsea,16.8,70
Moise Kean\Moise-Kean,FW,Everton,0.2,0
Michael Keane\Michael-Keane,DF,Everton,18.8,52
Neeskens Kebano\Neeskens-Kebano,FWMF,Fulham,1.3,2
Naby Keïta\Naby-Keita,MF,Liverpool,4.4,25
Caoimhin Kelleher\Caoimhin-Kelleher,GK,Liverpool,2,0
Jonjoe Kenny\Jonjoe-Kenny,DF,Everton,0.9,4
Reda Khadra\Reda-Khadra,FW,Brighton,0.1,0
Max Kilman\Max-Kilman,DF,Wolves,12.4,35
Joshua King\Joshua-King,MFFW,Everton,0.2,1
Mateusz Klich\Mateusz-Klich,MF,Leeds United,19.5,116
Robin Koch\Robin-Koch,DF,Leeds United,10.1,38
Sead Kolašinac\Sead-Kolasinac,DF,Arsenal,1,4
Ezri Konsa\Ezri-Konsa,DF,Aston Villa,18.5,13
Cheikhou Kouyaté\Cheikhou-Kouyate,DF,Crystal Palace,19.7,19
Mateo Kovačić\Mateo-Kovacic,MF,Chelsea,13.1,105
Emil Krafth\Emil-Krafth,DF,Newcastle Utd,4.9,8
Filip Krovinović\Filip-Krovinovic,MF,West Brom,6.1,40
Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,14.6,29
Adam Lallana\Adam-Lallana,MFFW,Brighton,9.1,26
Érik Lamela\Erik-Lamela,FWMF,Tottenham,4.1,14
Tariq Lamptey\Tariq-Lamptey,DF,Brighton,9.8,27
Manuel Lanzini\Manuel-Lanzini,MFFW,West Ham,3.5,9
Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,6.4,30
Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,11.1,23
Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,1.4,6
Mario Lemina\Mario-Lemina,MF,Fulham,7.6,27
Bernd Leno\Bernd-Leno,GK,Arsenal,21.8,2
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,17.3,28
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,16.7,53
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,2,6
Jake Livermore\Jake-Livermore,MF,West Brom,13.3,24
Diego Llorente\Diego-Llorente,DF,Leeds United,1,2
Hugo Lloris\Hugo-Lloris,GK,Tottenham,22,0
Giovani Lo Celso\Giovani-Lo-Celso,MFFW,Tottenham,4.9,21
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FWMF,Fulham,12.5,42
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,0.7,1
Kevin Long\Kevin-Long,DF,Burnley,6,13
Shane Long\Shane-Long,FWMF,Southampton,2.3,4
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,4.2,3
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,9.2,30
Ademola Lookman\Ademola-Lookman,FW,Fulham,17.5,58
Max Lowe\Max-Lowe,DF,Sheffield Utd,6.1,17
Matthew Lowton\Matthew-Lowton,DF,Burnley,18,56
David Luiz\David-Luiz,DF,Arsenal,9.8,36
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,18.4,63
John Lundstram\John-Lundstram,MF,Sheffield Utd,14.5,53
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,6,20
James Maddison\James-Maddison,MFFW,Leicester City,16.4,69
Harry Maguire\Harry-Maguire,DF,Manchester Utd,23,61
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,12.3,50
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,5.4,14
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,1,1
Josh Maja\Josh-Maja,FW,Fulham,0.1,1
Sadio Mané\Sadio-Mane,FW,Liverpool,18.8,64
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,8,17
Fernando Marçal\Fernando-Marcal,DF,Wolves,6.3,23
Solly March\Solly-March,DF,Brighton,18.6,77
Pablo Marí\Pablo-Mari,DF,Arsenal,3,7
Anthony Martial\Anthony-Martial,FW,Manchester Utd,13.9,36
Martinelli\Martinelli,FW,Arsenal,2.3,4
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,21,0
Arthur Masuaku\Arthur-Masuaku,DF,West Ham,9.4,32
Juan Mata\Juan-Mata,FW,Manchester Utd,3.7,15
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,0.7,2
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,8.1,51
Joël Matip\Joel-Matip,DF,Liverpool,7.7,15
Neal Maupay\Neal-Maupay,FWMF,Brighton,17,29
James McArthur\James-McArthur,MF,Crystal Palace,16.3,58
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,10.8,34
Alex McCarthy\Alex-McCarthy,GK,Southampton,21,0
James McCarthy\James-McCarthy,MF,Crystal Palace,5.2,14
John McGinn\John-McGinn,MF,Aston Villa,20,90
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,14.8,34
Dwight McNeil\Dwight-McNeil,MF,Burnley,18.7,35
Scott McTominay\Scott-McTominay,MF,Manchester Utd,13.7,56
Ben Mee\Ben-Mee,DF,Burnley,16,26
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,5.6,26
Edouard Mendy\Edouard-Mendy,GK,Chelsea,19,0
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,14.2,45
Illan Meslier\Illan-Meslier,GK,Leeds United,21,0
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,14.6,68
James Milner\James-Milner,MFDF,Liverpool,6.8,51
Yerry Mina\Yerry-Mina,DF,Everton,18,41
Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,3.3,4
Takumi Minamino\Takumi-Minamino,MF,Southampton,1,1
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,19.5,57
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,12,43
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,11.2,15
Jayson Molumby\Jayson-Molumby,MF,Brighton,0,0
Wes Morgan\Wes-Morgan,DF,Leicester City,0.2,2
Mason Mount\Mason-Mount,MFFW,Chelsea,20,116
Lucas Moura\Lucas-Moura,FWMF,Tottenham,6.8,20
Lys Mousset\Lys-Mousset,FW,Sheffield Utd,2.3,2
João Moutinho\Joao-Moutinho,MF,Wolves,16.6,71
Joel Mumbongo\Joel-Mumbongo,FW,Burnley,0.3,0
