Player,Pos,Squad,90s,Prog
Fábio Silva\Fabio-Silva,FW,Wolves,8.2,7
Thiago Silva\Thiago-Silva,DF,Chelsea,16.2,66
Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,14.8,28
Islam Slimani\Islam-Slimani,FW,Leicester City,0.2,1
William Smallbone\William-Smallbone,MF,Southampton,1.9,5
Emile Smith-Rowe\Emile-Smith-Rowe,MF,Arsenal,8.1,24
Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,4.5,13
Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,0.1,0
Cédric Soares\Cedric-Soares,DF,Arsenal,4.8,17
Tomáš Souček\Tomas-Soucek,MF,West Ham,23,66
Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,7.2,24
Zack Steffen\Zack-Steffen,GK,Manchester City,1,0
Dale Stephens\Dale-Stephens,MF,Burnley,2.8,12
Jack Stephens\Jack-Stephens,DF,Southampton,11.4,38
Raheem Sterling\Raheem-Sterling,FW,Manchester City,18,38
Enda Stevens\Enda-Stevens,DF,Sheffield Utd,15,61
John Stones\John-Stones,DF,Manchester City,13,45
Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,11.2,28
Matt Targett\Matt-Targett,DF,Aston Villa,20.8,125
James Tarkowski\James-Tarkowski,DF,Burnley,20,28
Percy Tau\Percy-Tau,FWMF,Brighton,0.9,1
Charlie Taylor\Charlie-Taylor,DF,Burnley,14.6,34
Neil Taylor\Neil-Taylor,DF,Aston Villa,0.2,0
Allan Tchaptchet\Allan-Tchaptchet,DF,Southampton,0.1,0
Nathan Tella\Nathan-Tella,FWMF,Southampton,1.8,0
Alex Telles\Alex-Telles,DF,Manchester Utd,5.7,40
Kenny Tete\Kenny-Tete,DF,Fulham,6.6,25
Luke Thomas\Luke-Thomas,DF,Leicester City,3,5
Youri Tielemans\Youri-Tielemans,MF,Leicester City,22.4,125
Kieran Tierney\Kieran-Tierney,DF,Arsenal,16.9,76
James Tomkins\James-Tomkins,DF,Crystal Palace,4.3,3
Fikayo Tomori\Fikayo-Tomori,DF,Chelsea,0.5,0
Ferrán Torres\Ferran-Torres,FW,Manchester City,8,21
Cenk Tosun\Cenk-Tosun,FW,Everton,0.5,0
Andros Townsend\Andros-Townsend,MF,Crystal Palace,15.9,47
Conor Townsend\Conor-Townsend,DF,West Brom,9.8,63
Adama Traoré\Adama-Traore,FWDF,Wolves,15.8,33
Bertrand Traoré\Bertrand-Traore,FW,Aston Villa,11.5,28
Trézéguet\Trezeguet,FW,Aston Villa,8.7,21
Leandro Trossard\Leandro-Trossard,FWMF,Brighton,16.3,60
Kostas Tsimikas\Kostas-Tsimikas,DF,Liverpool,0.1,0
Axel Tuanzebe\Axel-Tuanzebe,DF,Manchester Utd,1.5,7
Cengiz Ünder\Cengiz-Under,MFFW,Leicester City,2.7,7
Yan Valery\Yan-Valery,DFMF,Southampton,1.1,2
Jamie Vardy\Jamie-Vardy,FW,Leicester City,16.7,14
Joël Veltman\Joel-Veltman,DF,Brighton,14.3,66
Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,13.5,34
Rúben Vinagre\Ruben-Vinagre,DF,Wolves,1.9,2
Carlos Vinícius\Carlos-Vinicius,FW,Tottenham,1.8,2
Vitinha\Vitinha,MF,Wolves,2.6,3
Jake Vokins\Jake-Vokins,DF,Southampton,0.7,3
Matěj Vydra\Matej-Vydra,FW,Burnley,5.2,2
Theo Walcott\Theo-Walcott,MFFW,Southampton,13.7,20
Theo Walcott\Theo-Walcott,FW,Everton,0.1,0
Kyle Walker-Peters\Kyle-Walker-Peters,DF,Southampton,18,51
Kyle Walker\Kyle-Walker,DF,Manchester City,13.3,62
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Manchester Utd,21,80
James Ward-Prowse\James-Ward-Prowse,MF,Southampton,22,95
Joel Ward\Joel-Ward,DF,Crystal Palace,11.1,31
Ollie Watkins\Ollie-Watkins,FW,Aston Villa,21,20
Caleb Watts\Caleb-Watts,MFFW,Southampton,0.2,0
Adam Webster\Adam-Webster,DF,Brighton,21.8,86
Danny Welbeck\Danny-Welbeck,FW,Brighton,7.2,9
Timo Werner\Timo-Werner,FW,Chelsea,18.3,45
Ashley Westwood\Ashley-Westwood,MF,Burnley,21.9,113
Ben White\Ben-White,DFMF,Brighton,21.5,64
Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,20.7,62
Brandon Williams\Brandon-Williams,DF,Manchester Utd,0.1,0
Neco Williams\Neco-Williams,DF,Liverpool,1.9,11
Rhys Williams\Rhys-Williams,DF,Liverpool,1.3,5
Willian\Willian,FWMF,Arsenal,11.1,33
Joe Willock\Joe-Willock,MF,Arsenal,2.6,6
Joe Willock\Joe-Willock,MF,Newcastle Utd,1,2
Callum Wilson\Callum-Wilson,FW,Newcastle Utd,20.1,19
Harry Winks\Harry-Winks,MF,Tottenham,6.3,34
Chris Wood\Chris-Wood,FW,Burnley,18.7,18
Granit Xhaka\Granit-Xhaka,MF,Arsenal,17.1,136
Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,4,10
DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,4.8,13
Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,0.1,0
Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,18.5,39
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,18.7,74
Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,0.8,1
Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,7.1,39
Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,7,42
Kurt Zouma\Kurt-Zouma,DF,Chelsea,15,46
